param sigma
: 1 2 :=
1	1e-05	0.99999
2	0.1	0.9
3	0.2	0.8
4	0.3	0.7
5	0.4	0.6
6	0.5	0.5
7	0.6	0.4
8	0.7	0.3
9	0.8	0.2
10	0.9	0.1
11	0.99999	1e-05
;

set O := 1 80;
set R := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79;
set S := -1 -80;
set K := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
param b := 40;
param theta := 1185.0;
param alpha :=
0 0
1 0
2 0
3 0
4 0
;
param beta :=
0 0.2
1 -0.1
2 0
3 0
4 0
;
param gamma :=
0 16.4
1 2.2
2 2.2
3 0.6
4 0.4
;
param delta :=
0 0
1 0
2 0
3 0
4 0
;
param epsilon :=
0 0.3
1 0
2 0
3 0
4 0
;
param zeta :=
0 2.4
1 2.5
2 1.3
3 4.5
4 3.3
;
param hta :=
0 1
1 1
2 1
3 1
4 1
;
param dm :=
1 0
2 13
3 12
4 11
5 10
6 9
7 8
8 7
9 6
10 5
11 4
12 3
13 2
14 1
15 13
16 12
17 11
18 10
19 9
20 8
21 7
22 6
23 5
24 4
25 3
26 2
27 1
28 13
29 12
30 11
31 10
32 9
33 8
34 7
35 6
36 5
37 4
38 3
39 2
40 1
41 13
42 12
43 11
44 10
45 9
46 8
47 7
48 6
49 5
50 4
51 3
52 2
53 1
54 13
55 12
56 11
57 10
58 9
59 8
60 7
61 6
62 5
63 4
64 3
65 2
66 1
67 13
68 12
69 11
70 10
71 9
72 8
73 7
74 6
75 5
76 4
77 3
78 2
79 1
80 0
;
param d :=
1 1 0.00
1 2 3.03
1 3 1.79
1 4 0.68
1 5 0.51
1 6 1.50
1 7 2.50
1 8 3.50
1 9 4.50
1 10 5.52
1 11 6.57
1 12 7.69
1 13 8.96
