param sigma
: 1 2 :=
1	1e-05	0.99999
2	0.1	0.9
3	0.2	0.8
4	0.3	0.7
5	0.4	0.6
6	0.5	0.5
7	0.6	0.4
8	0.7	0.3
9	0.8	0.2
10	0.9	0.1
11	0.99999	1e-05
;

set O := 1 53;
set R := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52;
set S := 1 53;
set K := 1 2 3 4 5 6 7 8 9 10 11;
param b := 48;
param theta := 2247.0;
param peso_vacio := 3500;
param alpha :=
0 0
1 0
2 0
3 0
4 0
;
param beta :=
0 0.2
1 -0.1
2 0
3 0
4 0
;
param gamma :=
0 16.4
1 2.2
2 2.2
3 0.6
4 0.4
;
param delta :=
0 0
1 0
2 0
3 0
4 0
;
param epsilon :=
0 0.3
1 0
2 0
3 0
4 0
;
param zeta :=
0 2.4
1 2.5
2 1.3
3 4.5
4 3.3
;
param hta :=
0 1
1 1
2 1
3 1
4 1
;
param dm :=
1 0
2 17
3 16
4 15
5 14
6 13
7 12
8 11
9 10
10 9
11 8
12 7
13 6
14 5
15 4
16 3
17 2
18 1
19 17
20 16
21 15
22 14
23 13
24 12
25 11
26 10
27 9
28 8
29 7
30 6
31 5
32 4
33 3
34 2
35 1
36 17
37 16
38 15
39 14
40 13
41 12
42 11
43 10
44 9
45 8
46 7
47 6
48 5
49 4
50 3
51 2
52 1
53 0
;
param d :=
1 1 0.00
1 2 8.63
1 3 7.52
1 4 6.50
1 5 5.54
1 6 4.61
1 7 3.72
1 8 2.86
1 9 2.08
1 10 1.49
1 11 1.36
1 12 1.82
1 13 2.59
1 14 3.50
1 15 4.53
1 16 5.70
1 17 7.36
1 18 8.78
1 19 13.69
1 20 14.83
1 21 15.71
1 22 16.45
1 23 17.10
1 24 17.68
1 25 18.22
1 26 18.71
1 27 19.16
1 28 19.57
1 29 19.95
1 30 20.28
1 31 20.56
1 32 20.76
1 33 20.83
1 34 20.43
1 35 20.67
1 36 10.12
1 37 10.86
